Model,PSNR_mean,PSNR_std,MSE_mean,MSE_std,MAE_mean,MAE_std,LPIPS_mean,LPIPS_std,Time_mean,Time_std,Memory_mean,Memory_std
pruned_model_90.pth,13.477658416666667,3.0774538740602266,3594.1245647499995,2148.8996251926774,130.70581441666667,32.03577022236082,0.5675544,0.13212769282120101,0.08688225,0.07410856535844611,821.5925,788.1137822655517
pruned_model_91.pth,13.663712083333333,3.0969649515891837,3455.557857166667,2116.0006940531825,129.93658766666667,32.56700041592856,0.5725600000000001,0.13629488244234747,0.08687983333333332,0.07441524463329909,821.5925,788.1137822655517
pruned_model_92.pth,13.492333833333333,3.139223783834598,3600.4410155,2121.808607058886,131.89660308333333,31.058989573278566,0.5768990666666667,0.135941784688255,0.08673924999999999,0.0739681170260842,821.5925,788.1137822655517
pruned_model_93.pth,13.187932416666666,3.220675458900996,3891.8711150833337,2273.6834769917236,134.02033325,28.943017126241518,0.5796128,0.13631987855241337,0.08670675,0.07405106568924082,821.5925,788.1137822655517
pruned_model_94.pth,13.133907416666666,3.237149216882601,3948.1350424166667,2313.0684639821457,134.40695958333333,28.621039537194477,0.5809921333333333,0.1368282094818008,0.08670558333333334,0.07404285074839329,821.5925,788.1137822655517
pruned_model_95.pth,13.161140333333332,3.2596965811724945,3935.149832833333,2321.3565219131215,134.45483516666667,28.8465517259356,0.5804068,0.13583685462787184,0.08671416666666666,0.07391371611884792,821.5925,788.1137822655517
pruned_model_96.pth,13.216076750000001,3.242129489258881,3877.6507875833336,2281.1598110189093,134.17068466666666,29.052747753522493,0.5800913333333333,0.1362781268902454,0.0865705,0.07398927167740461,821.5925,788.1137822655517
pruned_model_97.pth,13.321112833333332,3.232718251257289,3780.8593896666666,2224.752010513786,133.7726519166667,29.66782854405671,0.5779944,0.13631693327329536,0.08664158333333333,0.07390130376437738,821.5925,788.1137822655517
pruned_model_98.pth,13.26828425,3.1677365337439753,3799.6747185,2214.66832647514,132.48310891666665,29.912763613476002,0.5819737333333334,0.1361510072888799,0.08659541666666667,0.07373307439140901,821.5925,788.1137822655517
pruned_model_99.pth,13.14651725,3.188625934359267,3913.3991603333334,2267.3683885118985,134.19412591666668,28.639120050777098,0.5794725333333334,0.13640095226434593,0.08629158333333332,0.07352440968714348,821.5925,788.1137822655517
states_pt_places2.pth,18.07409825,5.500092939932488,1678.786801,1382.7627842489737,118.00178749999999,25.305029619309323,0.29249986666666666,0.14887311731827985,0.08955408333333334,0.0763477826785187,821.5947166666666,788.1163983419787
